id_instancia,tempo_branch_and_bound,custo_branch_and_bound,tempo_2_tree,custo_2_tree,tempo_christofides,custo_christofides
a280,NA,NA,0.06831097602844238,3866.707197088614,0.330869197845459,2975.114776582674
berlin52,NA,NA,0.002692699432373047,10407.165370877936,0.007382392883300781,8594.034943788782
bier127,NA,NA,0.01331019401550293,156568.73616962644,0.0881950855255127,132456.24599032823
ch130,NA,NA,0.01439213752746582,8255.42874922752,0.0490415096282959,6752.275865213128
ch150,NA,NA,0.017597436904907227,9397.825532398896,0.05531930923461914,7112.03689127051
d1291,NA,NA,2.1984360218048096,73493.47878889472,6.275944232940674,57930.36511002276
d1655,NA,NA,3.912205696105957,88227.22809856247,30.150103330612183,70555.34141559036
eil101,NA,NA,0.008858442306518555,910.962816563203,0.04760932922363281,722.9974255765959
eil51,NA,NA,0.0026302337646484375,594.0019314445756,0.006861209869384766,486.82490388532386
eil76,NA,NA,0.0052890777587890625,734.2026691140234,0.024486064910888672,623.0579978735639
fl1400,NA,NA,2.9606893062591553,28950.608543141952,74.53109407424927,22834.3534254793
fl3795,NA,NA,25.971370935440063,40940.10753716609,383.62280797958374,31490.61323348788
fl417,NA,NA,18.02011013031006,16648.844969335696,0.7042922973632812,13424.734306822847
fnl4461,NA,NA,36.6746871471405,252012.6033304497,1610.6484940052032,206169.1459382477
gil262,NA,NA,0.04874253273010254,3329.1381471021946,0.3919382095336914,2695.154327132882
kroA100,NA,NA,0.00858759880065918,29049.80469641375,0.03415727615356445,23292.984656390247
kroA150,NA,NA,0.01716136932373047,36398.373025624336,0.11344456672668457,29688.31634111598
kroA200,NA,NA,0.02923440933227539,41337.463773456606,0.23638510704040527,33602.85852107668
kroB100,NA,NA,0.008127927780151367,28613.31332695277,0.023320436477661133,24009.194442252865
kroB150,NA,NA,0.017121076583862305,36631.251665191056,0.12425088882446289,30054.38749397737
kroB200,NA,NA,0.04403996467590332,39932.7466847764,0.18393158912658691,33118.121960284574
kroC100,NA,NA,0.008115768432617188,28671.807200648633,0.031794071197509766,23469.13095213182
kroD100,NA,NA,0.008309125900268555,27920.83585407827,0.04276108741760254,23587.7513603507
kroE100,NA,NA,0.008175373077392578,31351.509817768776,0.04249715805053711,23782.607053186945
lin105,NA,NA,0.008698225021362305,22207.00168797758,0.06857538223266602,16323.675799681516
lin318,NA,NA,0.08467864990234375,64759.11940110831,0.5404877662658691,47259.75653586446
lin318,NA,NA,0.08227992057800293,64759.11940110831,0.5424740314483643,47259.75653586446
nrw1379,NA,NA,2.695175886154175,78081.80410793376,74.32542419433594,63845.07078420635
p654,NA,NA,0.4555938243865967,48404.38251338494,0.8079051971435547,39244.707952130826
pcb1173,NA,NA,1.7944066524505615,80627.05361403374,19.522814512252808,63392.440765721665
pcb3038,NA,NA,13.555237770080566,196935.8321483283,359.92230248451233,154218.18587977605
pcb442,NA,NA,0.14113211631774902,75170.6999530423,3.0041582584381104,54876.773638895516
pr1002,NA,NA,1.1606402397155762,361068.1908732292,15.891918659210205,286233.0980252896
pr107,NA,NA,0.016872882843017578,60046.686648900555,0.021608591079711914,47894.18468460628
pr124,NA,NA,0.011497259140014648,77317.0012044483,0.020398616790771484,64437.69864117383
pr136,NA,NA,0.013801813125610352,148241.3795527079,0.018931865692138672,103771.90817636022
pr144,NA,NA,0.014884710311889648,84933.48872072485,0.019696950912475586,70405.28109712258
pr226,NA,NA,0.03463864326477051,119995.10767588708,0.14146947860717773,92425.75353982356
pr2392,NA,NA,7.650976181030273,536918.9993550325,170.62884616851807,425979.59046984377
pr2392,NA,NA,7.77367639541626,536918.9993550325,170.79929161071777,425979.59046984377
pr264,NA,NA,0.049561500549316406,70581.42290978573,0.152116060256958,54663.60243427485
pr299,NA,NA,0.07842588424682617,67061.86588037251,0.4223663806915283,52968.21979060306
pr439,NA,NA,0.16076374053955078,146048.05322186506,0.7110636234283447,119532.03590300519
pr76,NA,NA,0.004805564880371094,145222.90309344593,0.011080741882324219,116683.53464597455
rat195,NA,NA,0.027098417282104492,3425.912578211326,0.14035654067993164,2648.0952220519653
rat575,NA,NA,0.32237672805786133,9479.903692361133,3.8255724906921387,7802.749195018508
rat575,NA,NA,0.31641101837158203,9479.903692361133,3.8122010231018066,7802.749195018508
rat783,NA,NA,0.6670606136322021,12303.17437538629,9.737211465835571,10102.874531719252
rat99,NA,NA,0.007873296737670898,1724.222893544648,0.026184558868408203,1367.431978722476
rd100,NA,NA,0.008095979690551758,10384.869183535993,0.05168962478637695,8905.492431142617
rd100,NA,NA,0.008356809616088867,10384.869183535993,0.05182337760925293,8905.492431142617
rd400,NA,NA,0.1425023078918457,21449.916696974964,1.6379449367523193,17551.745624341067
rl1323,NA,NA,2.4268054962158203,390962.53342880966,6.098407506942749,298261.7196963094
rl1889,NA,NA,5.336926221847534,459905.79909480683,17.699416637420654,344691.9529495182
rl5915,NA,NA,53.17389917373657,870926.3900856596,219.1928746700287,617344.5185110545
rl5934,NA,NA,56.17542243003845,861139.9728966977,262.2745349407196,608604.5521491979
st70,NA,NA,0.00438237190246582,864.5307471925582,0.016775131225585938,759.1621130179482
tsp225,NA,NA,0.034698486328125,5418.772125242898,0.17086148262023926,4376.002889600349
u1432,NA,NA,1.676790475845337,233062.49493891597,27.749443769454956,171640.92490107514
u159,NA,NA,0.018100500106811523,57647.14037317119,0.06731939315795898,47581.71632624037
u1817,NA,NA,4.069263458251953,85764.28628354319,33.2572283744812,66796.25683960054
u2152,NA,NA,6.7414140701293945,96288.37234054563,48.74403738975525,73917.82910222527
u2319,NA,NA,7.028255224227905,368298.8925058145,193.90589785575867,272766.51505473966
u574,NA,NA,0.3105475902557373,50460.05422335462,3.3759071826934814,41337.60957541717
u724,NA,NA,0.5950891971588135,58613.91554600069,6.509259939193726,47954.682397622746
vm1084,NA,NA,1.538057804107666,322278.34354555164,10.600321292877197,260833.0616257126
vm1748,NA,NA,4.494186639785767,454264.76756553294,41.41000032424927,376240.89998764725
